model,mean_success_rate,mean_reward,mean_steps
ppo_1000000_steps,0.275,36.55664767276373,12.972142857142858
ppo_level1_20260111_100550_final,0.2742857142857143,36.78567685885542,13.164285714285715
ppo_900000_steps,0.2692857142857143,36.10044146428968,13.565714285714282
ppo_800000_steps,0.25285714285714284,32.425610418351496,13.362142857142855
ppo_700000_steps,0.2414285714285714,29.892860867307295,12.957857142857142
ppo_500000_steps,0.22999999999999998,26.42605904611262,11.957857142857145
ppo_600000_steps,0.22357142857142856,25.99308655630084,12.272142857142857
ppo_400000_steps,0.22,25.054123298328655,11.778571428571427
ppo_300000_steps,0.18928571428571428,19.37062060162059,11.778571428571427
ppo_200000_steps,0.1307142857142857,9.97937807133342,10.800714285714282
ppo_100000_steps,0.09428571428571429,4.26930364972329,10.809999999999999
